City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Francistown,BW,-21.17,27.5079,68.9,77,30,6.15,scattered clouds
129,Mvuma,ZW,-19.2792,30.5283,61.83,92,27,3.36,scattered clouds
130,Kondopoga,RU,62.2057,34.2614,1.08,100,100,2.37,overcast clouds
131,Prainha,BR,-1.8,-53.48,72.57,98,100,3.74,overcast clouds
132,Cidreira,BR,-30.1811,-50.2056,75.7,89,84,22.15,broken clouds
133,Bredasdorp,ZA,-34.5322,20.0403,58.28,65,100,5.06,overcast clouds
134,Luderitz,NA,-26.6481,15.1594,68.16,70,1,15.68,clear sky
135,Chara,RU,56.9064,118.2631,-14.35,93,68,1.3,broken clouds
136,Georgetown,MY,5.4112,100.3354,87.73,69,20,3.44,few clouds
137,Butaritari,KI,3.0707,172.7902,81.9,76,17,14.52,light rain
138,Vrangel,RU,42.7297,133.0839,16.0,49,2,14.92,clear sky
139,Sitka,US,57.0531,-135.33,46.29,81,100,24.16,moderate rain
140,Northam,GB,51.0333,-4.2167,51.03,93,100,25.17,overcast clouds
141,Namatanai,PG,-3.6667,152.4333,84.78,68,78,10.45,broken clouds
142,Eenhana,NA,-17.4667,16.3333,69.76,70,94,8.99,overcast clouds
143,Hithadhoo,MV,-0.6,73.0833,81.64,74,100,10.09,overcast clouds
144,Avarua,CK,-21.2078,-159.775,82.45,78,75,16.11,broken clouds
145,Chakulia,IN,22.4833,86.7167,62.92,85,94,9.35,overcast clouds
146,Ust-Nera,RU,64.5667,143.2,-8.54,98,99,4.23,overcast clouds
147,Kavieng,PG,-2.5744,150.7967,83.52,71,82,5.46,broken clouds
148,Fukue,JP,32.6881,128.8419,44.44,55,28,20.18,scattered clouds
149,Bilma,NE,18.6853,12.9164,51.42,32,0,12.08,clear sky
150,Sioux Lookout,CA,50.1001,-91.917,-9.02,76,75,2.3,broken clouds
151,Vestmannaeyjar,IS,63.4427,-20.2734,27.77,68,27,34.09,scattered clouds
152,Matata,NZ,-37.8833,176.75,78.58,66,3,9.37,clear sky
